"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FakeStore API Testing","0","Users Management","18","0","Create User","0"
"0","FakeStore API Testing","0","Users Management","9","0","Update User","0"
"0","FakeStore API Testing","0","Users Management","5","0","Security Tests","0"
"0","FakeStore API Testing","0","Users Management","12","0","Get Single User","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Test Framework","0"
"0","FakeStore API Testing","0","Users Management","4","0","Delete User","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Allure Integration","0"
"0","FakeStore API Testing","0","Users Management","2","0","Get All Users","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Environment Setup","0"
"0","Environment Validation","0","Connectivity Tests","1","0","API Connectivity","0"
